,PlaylistName,PlaylistURL,PlaylistID,Followers,NumberTracks,Duration,Owner,OwnerURL,Number of Tracks,Description,Collaborative,ImageURL
968,Ashley West Memorial Service,https://open.spotify.com/playlist/27V7j5h3CjbOEaIZRzgzQ8,27V7j5h3CjbOEaIZRzgzQ8,1,20,0,Brandon,https://open.spotify.com/user/31nrtzuzdmrk6eev5us27bphfagy,20,,False,https://mosaic.scdn.co/640/ab67616d0000b273565991bf9aae84d47acd5697ab67616d0000b2735726e327fd968a6fb5974350ab67616d0000b2736904726431559cb2a3fb6435ab67616d0000b273f00a1acf866539632b187ea0
969,Memorial wknd 23,https://open.spotify.com/playlist/0licXi2W9LzZTF5iUPZPUF,0licXi2W9LzZTF5iUPZPUF,0,82,0,5q912zxhfjbj2ez4u7tptp2kq,https://open.spotify.com/user/5q912zxhfjbj2ez4u7tptp2kq,82,,False,https://mosaic.scdn.co/640/ab67616d0000b27356ac7b86e090f307e218e9c8ab67616d0000b2737d6813fd233f3bc4977ccecaab67616d0000b273e56c40e55f2d9ba5dc2b0c9dab67616d0000b273f9f2dda2df2a695b9bad3440
970,Cheri Memorial,https://open.spotify.com/playlist/1IbFkjKzILDfTAeQlm6Rnn,1IbFkjKzILDfTAeQlm6Rnn,1,55,0,carinne32,https://open.spotify.com/user/carinne32,55,,False,https://mosaic.scdn.co/640/ab67616d0000b27309880a7b8636c5a0615dc0c8ab67616d0000b27337a40ab12a4fb96319a9d96fab67616d0000b2736ad5a5cecefb47d820d22362ab67616d0000b273ecd1e6fe12d12402318d747d
971,Memorial Day to Reminder,https://open.spotify.com/playlist/25hyO6ITBDXWgfO85O1s6O,25hyO6ITBDXWgfO85O1s6O,0,10,0,tapper55,https://open.spotify.com/user/ey23gdtwfssiflrr2o8f700i2,10,,False,https://mosaic.scdn.co/640/ab67616d0000b27325d529664eb0e5745f7e0c88ab67616d0000b27330ffb48d5884a64a21e27068ab67616d0000b273b5529363386deb522a4f586cab67616d0000b273f9f2dda2df2a695b9bad3440
972,Sea Memorial 💜,https://open.spotify.com/playlist/5gfjpISHYYsqOOrsqquOHs,5gfjpISHYYsqOOrsqquOHs,9,64,0,Liz Skinner,https://open.spotify.com/user/bubbleylizard,64,"all the chaotic, goblin mode, hype, sad, caring, amazing songs of Sea 💜",False,https://image-cdn-ak.spotifycdn.com/image/ab67706c0000bebb01e99e0bedab2a195070f26e
973,JJ memorial,https://open.spotify.com/playlist/1LUhPnH85xTTlBjWUpmIhu,1LUhPnH85xTTlBjWUpmIhu,1,34,0,1216014765,https://open.spotify.com/user/1216014765,34,,False,https://mosaic.scdn.co/640/ab67616d0000b27378b61a8ac95e0f48922b6990ab67616d0000b273a6c2edc057e186299e0cb487ab67616d0000b273c1651e7b595a3c334dfce018ab67616d0000b273deae277d80271b83d3c5bff7
974,Cooper Memorial Day Power Hour,https://open.spotify.com/playlist/5Ig9OrzooC39GCBu0Dt6J7,5Ig9OrzooC39GCBu0Dt6J7,4,26,0,mjcooper192,https://open.spotify.com/user/1263379396,26,60 minute Signature,False,https://mosaic.scdn.co/640/ab67616d0000b2731ebe832cc767233afcd41828ab67616d0000b2737636e1c9e67eaafc9f49aefdab67616d0000b273afcf85f73d2cc2928976257dab67616d0000b273b20af9c8ff56d8b178cefec0
975,Chibi memorial,https://open.spotify.com/playlist/0zYgBo1AhKMcj4Pe5bfe3d,0zYgBo1AhKMcj4Pe5bfe3d,1,283,0,Brandon Smeal,https://open.spotify.com/user/alltimedesires,283,songs that used to reverberate through the chibi walls by yours truly,False,https://mosaic.scdn.co/640/ab67616d0000b27321456c115d2f0f44f4630a63ab67616d0000b27338f3ec43683dc0c04d64d5a9ab67616d0000b273a46a71f61e28a5046ea79498ab67616d0000b273a73aeb6a5e6f24c844d01f29
976,100 Years memorial,https://open.spotify.com/playlist/7pHHmuPmAA3GEusilDsFpX,7pHHmuPmAA3GEusilDsFpX,0,209,0,stevemeans-us,https://open.spotify.com/user/stevemeans-us,209,,False,https://mosaic.scdn.co/640/ab67616d0000b27303ca4b65355b3fd5cc63f055ab67616d0000b2736e3fd495d30ac5d1d6e25a68ab67616d0000b2738c78164262112bb0d450e691ab67616d0000b2739f92a25e605f022eba07c6d9
977,Memorial Day 2021,https://open.spotify.com/playlist/0795JdXTnxLjdwHhHJsq1K,0795JdXTnxLjdwHhHJsq1K,0,53,0,Jon Davies,https://open.spotify.com/user/12155145314,53,,False,https://mosaic.scdn.co/640/ab67616d0000b2730cfe64241408d26a2b5c041eab67616d0000b2731b216bbc594dab55b55dec28ab67616d0000b2737cc8517f09c27c5e6f240e37ab67616d0000b27397c6be8715786791a58a59fe
