,PlaylistName,PlaylistURL,PlaylistID,Followers,NumberTracks,Duration,Owner,OwnerURL,Number of Tracks,Description,Collaborative,ImageURL
24,those sad tiktok songs,https://open.spotify.com/playlist/4O77TD3uISefqd9AwW7sOy,4O77TD3uISefqd9AwW7sOy,37370,258,0,dolcelty,https://open.spotify.com/user/1259464877,258,didn&#x27;t expect this to get so much attention! listen with remix on :p,False,https://image-cdn-ak.spotifycdn.com/image/ab67706c0000bebb60b1bdd71539092c8d8dfaf7
25,This Is In Mourning,https://open.spotify.com/playlist/37i9dQZF1DZ06evO05qCAM,37i9dQZF1DZ06evO05qCAM,228,39,0,Spotify,https://open.spotify.com/user/spotify,39,"This is In Mourning. The essential tracks, all in one playlist.",False,https://thisis-images.spotifycdn.com/37i9dQZF1DZ06evO05qCAM-large.jpg
26,Country mourning/grief songs,https://open.spotify.com/playlist/09Kgi6PKTUEKC6AR7DYI3m,09Kgi6PKTUEKC6AR7DYI3m,1107,73,0,ffoflonker,https://open.spotify.com/user/ffoflonker,73,,False,https://mosaic.scdn.co/640/ab67616d0000b2731b2da43c63f8480488f10c73ab67616d0000b2736eabd7ac8ca69e3e977f6236ab67616d0000b273a181a1b7cfa51375ae7b2a97ab67616d0000b273aa6b03f85a0f2cb16e88ec0c
27,The Mourning After Radio,https://open.spotify.com/playlist/37i9dQZF1E8OvMzmX42Agg,37i9dQZF1E8OvMzmX42Agg,93,50,0,Spotify,https://open.spotify.com/user/spotify,50,"With Mac Miller, Kid Cudi, Joey Bada$$, Earl Sweatshirt and more",False,https://seeded-session-images.scdn.co/v2/img/122/secondary/track/0xppJmfnjIQnMbMOez9bwT/en
28,Mourning Dove Sound,https://open.spotify.com/playlist/0GTMaYlxQYnpsHPXLm9O2M,0GTMaYlxQYnpsHPXLm9O2M,95,11,0,Midnight.,https://open.spotify.com/user/r6ajl6a3gud1aphhx2zs2xrq9,11,,False,https://mosaic.scdn.co/640/ab67616d0000b27306d1962427fbc95e9b270cb9ab67616d0000b27383c4ab8f55cb565d8a9b8be1ab67616d0000b273de786d90aef473072592287cab6765630000ba8a41e6525ec83910742ad2c187
29,4 hours of School Rooftop (bird sounds),https://open.spotify.com/playlist/6Be9x0LBmEplOLbCogaQ0n,6Be9x0LBmEplOLbCogaQ0n,3405,174,0,Xx•★Melody★•Xx,https://open.spotify.com/user/31lp6gzxynfzfdlxoqi74qdu37nm,174,★ Where did y&#x27;all come from 😭★,False,https://image-cdn-ak.spotifycdn.com/image/ab67706c0000bebb5388d1d8a41fa79215db63b4
30,September Mourning Radio,https://open.spotify.com/playlist/37i9dQZF1E4FbJnNg6WQlj,37i9dQZF1E4FbJnNg6WQlj,516,50,0,Spotify,https://open.spotify.com/user/spotify,50,"With Forever Still, Fate DeStroyed, Red Queen and more",False,https://seeded-session-images.scdn.co/v2/img/122/secondary/artist/3u6jopsj6GeZAHJAmfUxk1/en
31,In the Mourning Radio,https://open.spotify.com/playlist/37i9dQZF1E8UWyIim0DhS8,37i9dQZF1E8UWyIim0DhS8,126,50,0,Spotify,https://open.spotify.com/user/spotify,50,"With Paramore, Hayley Williams, My Chemical Romance, All Time Low and more",False,https://seeded-session-images.scdn.co/v2/img/122/secondary/track/2NSjoft78kEQSUgpOXeMDg/en
32,September Mourning Mix,https://open.spotify.com/playlist/37i9dQZF1EIXeBWl06tK6K,37i9dQZF1EIXeBWl06tK6K,0,50,0,Spotify,https://open.spotify.com/user/spotify,50,"<a href=spotify:playlist:37i9dQZF1EIXQ315ghpVsk>Enemy Inside</a>, <a href=spotify:playlist:37i9dQZF1EIVaxk13kwpiz>A Light Divided</a> and <a href=spotify:playlist:37i9dQZF1EIZIYRA53maep>ODC</a>",False,https://seed-mix-image.spotifycdn.com/v6/img/artist/3u6jopsj6GeZAHJAmfUxk1/en/large
33,Mourning Radio,https://open.spotify.com/playlist/37i9dQZF1E8LWksynooIcj,37i9dQZF1E8LWksynooIcj,6,50,0,Spotify,https://open.spotify.com/user/spotify,50,"With Nana Fofie, He3b, Kwamz & Flava, Tomi Agape and more",False,https://seeded-session-images.scdn.co/v2/img/122/secondary/track/605UZrQVWZMxxLs2hrXJmO/en
