,PlaylistName,PlaylistURL,PlaylistID,Followers,NumberTracks,Duration,Owner,OwnerURL,Number of Tracks,Description,Collaborative,ImageURL
247,Result Of Love,https://open.spotify.com/playlist/4IjlXmlPb56Ckjg85vZ40S,4IjlXmlPb56Ckjg85vZ40S,1,75,0,Noel,https://open.spotify.com/user/31nin7qar5npmnoxkkshyt4errpu,75,Love brings nothing but pain and grief in the end. Stay heartless.,False,https://image-cdn-ak.spotifycdn.com/image/ab67706c0000bebba7589c4ff46c3ddae24dfe26
248,:),https://open.spotify.com/playlist/7LteLx83ZTKaUOmzd7m5iZ,7LteLx83ZTKaUOmzd7m5iZ,6,1684,0,neonnightswastaken,https://open.spotify.com/user/4xvob37ej4tp41bzu76qumdt7,1684,I experience the five stages of grief when hitting nothing but shuffle,False,https://image-cdn-fa.spotifycdn.com/image/ab67706c0000bebb8df1fe6627d01cdb0455b100
249,w/ Him. 🤍,https://open.spotify.com/playlist/0DoKRRh47mxvuX6n5Xz9ft,0DoKRRh47mxvuX6n5Xz9ft,8,82,0,nik musch,https://open.spotify.com/user/nicolette.musch,82,"get lost in this playlist when you want to sit with Him in all your moods; joy, sadness, grief, loneliness and gratitude!!!!",False,https://mosaic.scdn.co/640/ab67616d0000b2732eaa178f38d3fdf85aaf03e6ab67616d0000b273618551d2d0f2d446b2b97959ab67616d0000b27376a6c53d91081b3032f0abd0ab67616d0000b273f71fa7bd2d9a5eb118765939
250,Professional Griefers,https://open.spotify.com/playlist/2NLrjdaZuUX6pyifGxdh8u,2NLrjdaZuUX6pyifGxdh8u,3,19,0,nicholascostner,https://open.spotify.com/user/nicholascostner,19,,False,https://mosaic.scdn.co/640/ab67616d0000b273213cc63a2ee3d51925f41137ab67616d0000b27366919acb93950333962467f8ab67616d0000b273c8a088c10a761bdcbbe3b72bab67616d0000b273c9d23e6ed07946df8cefff6c
251,Good Grief,https://open.spotify.com/playlist/6rrDISPMcQ1VJuFySooBiW,6rrDISPMcQ1VJuFySooBiW,2,482,0,bananaphone345,https://open.spotify.com/user/bananaphone345,482,,False,https://image-cdn-ak.spotifycdn.com/image/ab67706c0000bebb8b514c5f7269368c75883d04
252,Release the Grief - Breathwork,https://open.spotify.com/playlist/6YFjDUjQALR0TOg21F2dRk,6YFjDUjQALR0TOg21F2dRk,39,9,0,Sam Cartagena,https://open.spotify.com/user/sammie177,9,,False,https://mosaic.scdn.co/640/ab67616d0000b2730c8b3dc0a562ab5ea4492588ab67616d0000b2731f019a4b7337c8324514873cab67616d0000b2739e5a358edfeb737f420b3776ab67616d0000b273e14b3826179f5ca27f9f7d13
253,Good Grief,https://open.spotify.com/playlist/3VT526WyPv4Ks7glxoAtgR,3VT526WyPv4Ks7glxoAtgR,1,187,0,Kevin Arria,https://open.spotify.com/user/12101743425,187,,False,https://image-cdn-ak.spotifycdn.com/image/ab67706c0000bebbd5e06821a7598d77401191f5
254,Grief ,https://open.spotify.com/playlist/4Wj9frvyEY0FuyyOsfTYo8,4Wj9frvyEY0FuyyOsfTYo8,2,117,0,lewise07,https://open.spotify.com/user/lewise07,117,,False,https://mosaic.scdn.co/640/ab67616d0000b273044ff3012c9a579a7bf4273eab67616d0000b2737b3a2cfbd4d34f6d9892ff0fab67616d0000b273871be27ae8d4b3495386c285ab67616d0000b273ac3a740a03e3f4ceb692bbca
255,Grief Work,https://open.spotify.com/playlist/7gTs76GgvvX0brDWf0XyxJ,7gTs76GgvvX0brDWf0XyxJ,126,54,0,Natalie Anne Hoffman,https://open.spotify.com/user/klejwa,54,,False,https://mosaic.scdn.co/640/ab67616d0000b273112179621605b07a1f3ff957ab67616d0000b27326ee43659ded2ab2d73566e2ab67616d0000b2735299007ded3da7e949539e03ab67616d0000b273f5cbb721b4b3c1a8d30ad8f2
256,Grief Somatic Sounds [sleep],https://open.spotify.com/playlist/1QtKtCv0f4CqDZcT0xpgpM,1QtKtCv0f4CqDZcT0xpgpM,5,48,0,j.avolio,https://open.spotify.com/user/jessavolio,48,,False,https://mosaic.scdn.co/640/ab67616d0000b27339a1cbf0fdde1ed2ce90b8fdab67616d0000b2736ffec8ac5af86ed84f157777ab67616d0000b273c5446e35bd33adb3a6b71f3cab67616d0000b273d5e021e94d80398417451ce3
257,Grief Path ,https://open.spotify.com/playlist/3Dck2pmz9KR3Gnh9xqqrdW,3Dck2pmz9KR3Gnh9xqqrdW,1,18,0,jonathanjudy,https://open.spotify.com/user/jonathanjudy,18,,False,https://mosaic.scdn.co/640/ab67616d0000b2732ae27cc6d91ecd074807db6dab67616d0000b2733b6257e4d2a22ee5bf213336ab67616d0000b2736c31e08524ddef784eb96830ab67616d0000b273e28f1fa4e883a8fad8e3fd16
258,Grief,https://open.spotify.com/playlist/1dUn5FOKeCh82SAcnf9VXt,1dUn5FOKeCh82SAcnf9VXt,0,35,0,Smokey,https://open.spotify.com/user/psychowhitz,35,,False,https://mosaic.scdn.co/640/ab67616d0000b2730b1129853982ea17845d4eb6ab67616d0000b273136d7250568820409f8fdd60ab67616d0000b2735c53799f473fa3e1a48c00edab67616d0000b273d5fccf9ce08b6a1e7d12a222
259,Good Grief,https://open.spotify.com/playlist/3lxz7d0HPcSzQhgRC1lesz,3lxz7d0HPcSzQhgRC1lesz,0,149,0,N,https://open.spotify.com/user/drewnava33,149,,False,https://mosaic.scdn.co/640/ab67616d0000b2739365dde25000bb00e2c0443eab67616d0000b27393d7bce995d822785744fd66ab67616d0000b273d609342d04c349815b5fe099ab67616d0000b273ea81a077e23890fb30078dc7
260,Healing Through Grief,https://open.spotify.com/playlist/2PXxdEfED0j4H4AtNAfu5Q,2PXxdEfED0j4H4AtNAfu5Q,5,24,0,Win,https://open.spotify.com/user/31uubonfafnbtr5iac3oe4waodvy,24,,False,https://mosaic.scdn.co/640/ab67616d0000b27334f21d3047d85440dfa37f10ab67616d0000b273b103a69ed742a7735a2ba7e8ab67616d0000b273e280ed04a8e7cf1ad8acf4adab67616d0000b273ff8a4276b3be31c839557439
261,Grief,https://open.spotify.com/playlist/1GkGRfGgGY2SyVAFGnR2RJ,1GkGRfGgGY2SyVAFGnR2RJ,0,17,0,Christina Lynne Castañeda,https://open.spotify.com/user/124570487,17,,False,https://mosaic.scdn.co/640/ab67616d0000b2732f2eeee9b405f4d00428d84cab67616d0000b27334189d5c37fa920f7dd0f1b4ab67616d0000b2734ad6e5838f15401ff7d62856ab67616d0000b2738aac8a5f5e60ea65ec028392
